target,Id
1,0
1,1
0,2
0,3
1,4
1,5
1,6
1,7
0,8
0,9
1,10
0,11
1,12
0,13
0,14
0,15
0,16
1,17
0,18
1,19
1,20
1,21
1,22
1,23
1,24
0,25
0,26
0,27
1,28
0,29
1,30
1,31
1,32
0,33
0,34
1,35
1,36
1,37
0,38
0,39
0,40
1,41
0,42
0,43
1,44
0,45
0,46
0,47
0,48
1,49
0,50
0,51
1,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
1,60
0,61
1,62
1,63
0,64
0,65
1,66
0,67
0,68
0,69
0,70
0,71
1,72
1,73
0,74
1,75
0,76
1,77
0,78
0,79
0,80
1,81
0,82
0,83
0,84
1,85
0,86
0,87
1,88
1,89
0,90
1,91
1,92
0,93
0,94
0,95
1,96
0,97
1,98
0,99
0,100
0,101
1,102
0,103
0,104
0,105
0,106
1,107
0,108
1,109
1,110
1,111
0,112
1,113
1,114
1,115
0,116
1,117
0,118
0,119
1,120
0,121
1,122
1,123
0,124
0,125
0,126
0,127
0,128
0,129
1,130
0,131
0,132
0,133
0,134
0,135
0,136
1,137
1,138
0,139
1,140
1,141
0,142
0,143
1,144
0,145
1,146
0,147
1,148
1,149
0,150
1,151
1,152
0,153
1,154
1,155
1,156
1,157
0,158
1,159
0,160
0,161
0,162
1,163
0,164
1,165
0,166
1,167
0,168
1,169
0,170
0,171
1,172
0,173
1,174
0,175
0,176
1,177
0,178
1,179
0,180
0,181
1,182
0,183
0,184
1,185
1,186
0,187
0,188
0,189
1,190
0,191
0,192
0,193
0,194
0,195
0,196
0,197
1,198
0,199
1,200
0,201
0,202
1,203
0,204
0,205
0,206
0,207
1,208
0,209
1,210
1,211
0,212
1,213
1,214
1,215
0,216
0,217
1,218
0,219
1,220
0,221
1,222
1,223
0,224
1,225
1,226
0,227
1,228
0,229
0,230
1,231
0,232
0,233
1,234
1,235
1,236
1,237
1,238
0,239
0,240
0,241
1,242
0,243
1,244
0,245
0,246
0,247
1,248
1,249
1,250
0,251
0,252
0,253
0,254
0,255
0,256
1,257
1,258
0,259
0,260
1,261
0,262
0,263
1,264
0,265
0,266
0,267
0,268
1,269
1,270
0,271
0,272
0,273
0,274
0,275
0,276
1,277
0,278
0,279
1,280
1,281
0,282
1,283
1,284
1,285
1,286
1,287
0,288
0,289
1,290
1,291
1,292
1,293
0,294
1,295
0,296
0,297
0,298
1,299
1,300
1,301
1,302
0,303
0,304
1,305
0,306
1,307
0,308
1,309
1,310
0,311
1,312
1,313
0,314
0,315
1,316
0,317
1,318
1,319
0,320
0,321
1,322
0,323
1,324
1,325
1,326
0,327
0,328
0,329
1,330
0,331
1,332
1,333
0,334
0,335
0,336
0,337
1,338
0,339
1,340
0,341
1,342
1,343
1,344
1,345
0,346
1,347
0,348
1,349
1,350
1,351
0,352
1,353
1,354
0,355
1,356
0,357
0,358
0,359
0,360
1,361
1,362
0,363
1,364
1,365
1,366
1,367
1,368
1,369
1,370
0,371
0,372
1,373
1,374
0,375
0,376
0,377
0,378
1,379
0,380
0,381
1,382
0,383
1,384
1,385
1,386
1,387
1,388
1,389
0,390
0,391
1,392
1,393
0,394
0,395
0,396
0,397
0,398
0,399
0,400
1,401
0,402
1,403
0,404
0,405
1,406
1,407
1,408
1,409
1,410
1,411
0,412
0,413
0,414
1,415
0,416
0,417
1,418
1,419
0,420
1,421
1,422
0,423
1,424
0,425
0,426
0,427
1,428
0,429
0,430
1,431
0,432
0,433
1,434
0,435
0,436
0,437
0,438
0,439
0,440
0,441
0,442
0,443
0,444
1,445
1,446
0,447
1,448
0,449
0,450
0,451
1,452
1,453
0,454
0,455
0,456
0,457
0,458
1,459
1,460
0,461
1,462
0,463
0,464
1,465
1,466
1,467
1,468
0,469
0,470
0,471
0,472
0,473
1,474
1,475
1,476
0,477
1,478
1,479
1,480
1,481
1,482
0,483
1,484
0,485
0,486
1,487
1,488
0,489
0,490
0,491
0,492
0,493
1,494
0,495
1,496
1,497
0,498
0,499
0,500
0,501
0,502
0,503
0,504
0,505
1,506
0,507
1,508
1,509
0,510
1,511
0,512
0,513
0,514
0,515
0,516
1,517
0,518
1,519
1,520
0,521
0,522
1,523
0,524
0,525
0,526
1,527
0,528
0,529
1,530
1,531
1,532
1,533
0,534
0,535
1,536
1,537
1,538
0,539
1,540
0,541
1,542
1,543
0,544
0,545
0,546
0,547
1,548
1,549
1,550
0,551
1,552
1,553
0,554
0,555
1,556
0,557
0,558
0,559
0,560
1,561
0,562
0,563
0,564
1,565
0,566
1,567
1,568
0,569
0,570
1,571
1,572
1,573
0,574
1,575
1,576
0,577
1,578
1,579
0,580
0,581
1,582
1,583
0,584
0,585
0,586
0,587
0,588
0,589
0,590
1,591
0,592
1,593
1,594
0,595
0,596
0,597
0,598
0,599
0,600
1,601
0,602
1,603
1,604
0,605
1,606
1,607
0,608
1,609
0,610
0,611
0,612
0,613
1,614
1,615
1,616
1,617
0,618
1,619
0,620
0,621
0,622
0,623
0,624
1,625
1,626
0,627
0,628
1,629
0,630
0,631
1,632
0,633
0,634
1,635
0,636
1,637
1,638
1,639
1,640
1,641
1,642
0,643
0,644
1,645
1,646
1,647
0,648
1,649
0,650
0,651
0,652
0,653
1,654
0,655
0,656
0,657
0,658
0,659
1,660
1,661
0,662
1,663
0,664
1,665
0,666
1,667
1,668
0,669
1,670
1,671
0,672
1,673
0,674
0,675
1,676
0,677
0,678
1,679
0,680
1,681
0,682
1,683
0,684
1,685
0,686
0,687
0,688
0,689
1,690
0,691
0,692
0,693
1,694
0,695
1,696
1,697
1,698
0,699
0,700
0,701
1,702
0,703
0,704
0,705
1,706
1,707
0,708
0,709
0,710
0,711
1,712
0,713
1,714
0,715
1,716
1,717
1,718
0,719
0,720
0,721
0,722
0,723
0,724
0,725
1,726
1,727
1,728
0,729
0,730
0,731
0,732
0,733
0,734
1,735
1,736
0,737
0,738
1,739
1,740
1,741
0,742
0,743
0,744
0,745
1,746
0,747
0,748
0,749
1,750
1,751
1,752
0,753
1,754
0,755
1,756
1,757
1,758
1,759
1,760
0,761
0,762
0,763
1,764
0,765
0,766
0,767
0,768
1,769
1,770
1,771
0,772
0,773
1,774
0,775
1,776
0,777
0,778
0,779
1,780
1,781
1,782
1,783
1,784
0,785
1,786
1,787
1,788
1,789
0,790
0,791
0,792
1,793
1,794
1,795
0,796
1,797
0,798
1,799
1,800
1,801
1,802
1,803
1,804
0,805
1,806
0,807
0,808
0,809
1,810
1,811
0,812
0,813
0,814
0,815
1,816
0,817
0,818
1,819
1,820
1,821
0,822
0,823
0,824
1,825
1,826
1,827
0,828
1,829
0,830
1,831
0,832
1,833
1,834
1,835
1,836
1,837
1,838
1,839
0,840
1,841
0,842
1,843
0,844
0,845
0,846
1,847
1,848
0,849
0,850
1,851
0,852
1,853
1,854
0,855
1,856
0,857
0,858
0,859
0,860
0,861
0,862
1,863
1,864
0,865
1,866
0,867
0,868
1,869
1,870
1,871
1,872
1,873
0,874
0,875
0,876
0,877
1,878
0,879
1,880
0,881
0,882
0,883
0,884
1,885
0,886
0,887
0,888
0,889
0,890
1,891
1,892
0,893
0,894
0,895
1,896
0,897
0,898
0,899
1,900
1,901
1,902
0,903
1,904
0,905
1,906
0,907
0,908
0,909
0,910
0,911
0,912
0,913
1,914
0,915
0,916
1,917
0,918
0,919
1,920
1,921
0,922
1,923
1,924
0,925
1,926
1,927
1,928
0,929
1,930
1,931
0,932
1,933
1,934
1,935
0,936
1,937
1,938
1,939
0,940
0,941
1,942
1,943
0,944
1,945
0,946
0,947
1,948
0,949
0,950
1,951
0,952
0,953
0,954
1,955
1,956
1,957
0,958
1,959
1,960
1,961
1,962
1,963
1,964
0,965
1,966
1,967
0,968
0,969
0,970
0,971
0,972
0,973
0,974
0,975
1,976
1,977
1,978
1,979
0,980
1,981
1,982
0,983
0,984
0,985
0,986
0,987
0,988
0,989
0,990
0,991
1,992
1,993
1,994
0,995
1,996
0,997
0,998
1,999
